day,fajr,fajrIqma,sunrise,zuhr,zuhrIqma,asr,asrIqma,maghrib,maghribIqma,isha,ishaIqma
01-01,6:25 AM,6:45 AM,7:51 AM,12:21 PM,2:00 PM,3:09 PM,3:30 PM,4:51 PM,4:51 PM,6:18 PM,7:00 PM
02-01,6:25 AM,6:45 AM,7:51 AM,12:22 PM,2:00 PM,3:10 PM,3:30 PM,4:52 PM,4:52 PM,6:19 PM,7:00 PM
03-01,6:25 AM,6:45 AM,7:51 AM,12:22 PM,2:00 PM,3:11 PM,3:30 PM,4:53 PM,4:53 PM,6:19 PM,7:00 PM
04-01,6:25 AM,6:45 AM,7:51 AM,12:23 PM,2:00 PM,3:12 PM,3:30 PM,4:54 PM,4:54 PM,6:20 PM,7:00 PM
05-01,6:25 AM,6:45 AM,7:51 AM,12:23 PM,2:00 PM,3:13 PM,3:30 PM,4:55 PM,4:55 PM,6:21 PM,7:00 PM
06-01,6:25 AM,6:45 AM,7:51 AM,12:23 PM,2:00 PM,3:14 PM,3:30 PM,4:56 PM,4:56 PM,6:22 PM,7:00 PM
07-01,6:25 AM,6:45 AM,7:51 AM,12:24 PM,2:00 PM,3:15 PM,3:45 PM,4:57 PM,4:57 PM,6:23 PM,7:00 PM
08-01,6:25 AM,6:45 AM,7:51 AM,12:24 PM,2:00 PM,3:16 PM,3:45 PM,4:58 PM,4:58 PM,6:24 PM,7:00 PM
09-01,6:25 AM,6:45 AM,7:50 AM,12:25 PM,2:00 PM,3:17 PM,3:45 PM,4:59 PM,4:59 PM,6:25 PM,7:00 PM
10-01,6:25 AM,6:45 AM,7:50 AM,12:25 PM,2:00 PM,3:18 PM,3:45 PM,5:00 PM,5:00 PM,6:26 PM,7:00 PM
11-01,6:25 AM,6:45 AM,7:50 AM,12:26 PM,2:00 PM,3:19 PM,3:45 PM,5:02 PM,5:02 PM,6:27 PM,7:00 PM
12-01,6:24 AM,6:45 AM,7:50 AM,12:26 PM,2:00 PM,3:20 PM,3:45 PM,5:03 PM,5:03 PM,6:28 PM,7:00 PM
13-01,6:24 AM,6:45 AM,7:49 AM,12:26 PM,2:00 PM,3:22 PM,3:45 PM,5:04 PM,5:04 PM,6:29 PM,7:00 PM
14-01,6:24 AM,6:45 AM,7:49 AM,12:27 PM,2:00 PM,3:23 PM,3:45 PM,5:05 PM,5:05 PM,6:30 PM,7:00 PM
15-01,6:25 AM,6:45 AM,7:48 AM,12:27 PM,2:00 PM,3:24 PM,3:45 PM,5:06 PM,5:06 PM,6:31 PM,7:00 PM
16-01,6:23 AM,6:45 AM,7:48 AM,12:27 PM,2:00 PM,3:25 PM,3:45 PM,5:07 PM,5:07 PM,6:32 PM,7:00 PM
17-01,6:23 AM,6:45 AM,7:47 AM,12:28 PM,2:00 PM,3:26 PM,3:45 PM,5:09 PM,5:09 PM,6:33 PM,7:00 PM
18-01,6:22 AM,6:45 AM,7:47 AM,12:28 PM,2:00 PM,3:28 PM,3:45 PM,5:10 PM,5:10 PM,6:34 PM,7:00 PM
19-01,6:22 AM,6:45 AM,7:46 AM,12:28 PM,2:00 PM,3:29 PM,3:45 PM,5:11 PM,5:11 PM,6:35 PM,7:00 PM
20-01,6:21 AM,6:45 AM,7:45 AM,12:29 PM,2:00 PM,3:30 PM,4:00 PM,5:12 PM,5:12 PM,6:36 PM,7:00 PM
21-01,6:21 AM,6:45 AM,7:45 AM,12:29 PM,2:00 PM,3:31 PM,4:00 PM,5:14 PM,5:14 PM,6:37 PM,7:00 PM
